iso3,location,code_id,lat,lon,people,accuracy,hazard
IRN,Mazandaran Province,1,36.403,52.369,6000000,ADM1,
IRN,Gilan Province,1,37.512,49.355,4000000,ADM1,
PAK,Punjab,6,30.863,72.319,2819767,ADM2,Flood
PHL,Bicol Region,6,13.101,123.523,2603960,ADM1,Typhoon/Hurricane/Cyclone
PSE,Gaza Strip,1,31.433,34.378,2563070,?,
CHN,Guangdong Province,6,23.136,113.198,2130629,ADM1,Typhoon/Hurricane/Cyclone
CHL,Chile,6,-36.839,-72.459,1500000,AM0,Tsunami
PHL,Western Visayas,6,10.673,122.723,1386082,ADM1,Flood
PHL,Central Visayas,6,10.264,123.869,1063063,ADM1,Typhoon/Hurricane/Cyclone
PHL,Calabarzon,6,14.164,121.354,1014707,ADM1,Typhoon/Hurricane/Cyclone
IDN,Aceh,6,3.867,96.543,994771,ADM1,Typhoon/Hurricane/Cyclone
PHL,Negros Island Region,6,10.021,122.977,806895,ADM1,Typhoon/Hurricane/Cyclone
CUB,Cuba,6,21.555,-80.114,735000,AM0,Typhoon/Hurricane/Cyclone
SDN,North Darfur State,1,15.849,25.504,713497,ADM1,
PHL,Mimaropa,6,13.015,121.406,700814,ADM1,Typhoon/Hurricane/Cyclone
KHM,Banteay Meanchey,1,13.799,102.886,684220,ADM1,
COD,Goma,1,-1.656,29.202,658673,ADM2,
COD,Lubero,1,-0.062,28.754,621174,ADM2,
COD,Uvira,1,-3.198,29.007,611115,ADM2,
MMR,Myanmar,1,18.994,95.457,572538,AM0,
PHL,Cagayan Valley,6,17.677,121.889,530277,ADM1,Typhoon/Hurricane/Cyclone
PHL,Caraga,6,9.247,125.856,517529,ADM1,Typhoon/Hurricane/Cyclone
MOZ,Cabo Delgado,6,-12.31,39.417,492825,ADM1,Typhoon/Hurricane/Cyclone
COD,Walikale,1,-1.073,27.975,484143,ADM2,
THA,Sa Kaeo Province,1,13.673,102.283,439652,ADM1,
PHL,Central Luzon,6,15.391,120.686,437253,ADM1,Typhoon/Hurricane/Cyclone
PHL,Ilocos Region,6,17.201,120.47,426167,ADM1,Typhoon/Hurricane/Cyclone
PHL,Eastern Visayas,6,11.328,124.998,408578,ADM1,Typhoon/Hurricane/Cyclone
COD,Rutshuru,1,-1.187,29.446,403137,ADM2,
VNM,Gia Lai Province,6,13.8,108.138,367933,ADM1,Mixed disasters
COD,Walungu,1,-2.771,28.6,326463,ADM2,
COD,Kalehe,1,-2.052,28.569,311789,ADM2,
CHN,Shanghai,6,31.232,121.469,283000,ADM1,Typhoon/Hurricane/Cyclone
JAM,Jamaica,6,17.74,-77.197,279000,AM0,Typhoon/Hurricane/Cyclone
COD,Kabare,1,-2.409,28.75,264675,ADM2,
HTI,Centre Department,2,19.009,-72.016,258135,ADM1,
AFG,Afghanistan,6,33.934,65.204,252815,AM0,Drought
COD,Masisi,1,-1.397,28.817,249287,ADM2,
COL,Colombia,2,4.216,-72.771,234467,AM0,
SYR,As-Suwayda,1,32.771,36.878,233446,ADM1,
MMR,Naypyitaw,6,20.281,96.266,225246,ADM1,Earthquake
COD,Djugu,1,1.875,30.393,220720,ADM2,
THA,Narathiwat Province,6,6.302,101.762,219000,ADM1,Flood
COD,Fizi,0,-4.27,28.881,211625,ADM2,
PHL,Metro Manila,6,14.567,120.978,211226,ADM1,Typhoon/Hurricane/Cyclone
CHN,Hainan,6,19.005,109.669,206256,ADM1,Typhoon/Hurricane/Cyclone
MOZ,Cabo Delgado,1,-12.31,39.417,206041,ADM1,
COD,Kirotshe,1,-1.613,29.031,200000,ADM3,
COD,Bukavu,1,-2.506,28.859,200000,ADM2,
HTI,Département de l'Ouest,2,18.618,-72.18,194356,ADM1,
IDN,Sungai Maros,6,-5.005,119.561,185279,ADM2,Flood
PAK,Sindh,6,26.007,68.773,184011,ADM2,Flood
COD,Kitembo,1,-1.642,29.072,178000,ADM3,
PHL,Negros Island Region,6,10.676,122.951,173608,ADM3,Typhoon/Hurricane/Cyclone
MOZ,Nampula,6,-15.172,39.112,166576,ADM1,Typhoon/Hurricane/Cyclone
SDN,Khartoum,1,15.552,32.532,163890,ADM1,
COD,Manguredjipa,1,0.353,28.765,162000,ADM3,
AFG,Kandahar,1,30.991,65.707,160800,ADM1,
COL,Colombia,1,4.216,-72.771,159639,AM0,
HTI,Artibonite Department,2,19.337,-72.492,158723,ADM1,
USA,Los Angeles,7,34.054,-118.243,154960,ADM3,Wildfire
SDN,Al Jazirah,1,14.667,33.222,154815,ADM1,
PAK,Bājaur Agency,1,34.833,71.5,152000,ADM2,
COD,Bapere,1,0.264,28.439,151034,ADM3,
PHL,Zamboanga Peninsula,6,7.773,122.756,150598,ADM1,Typhoon/Hurricane/Cyclone
SSD,Warrap,2,8.281,28.665,148000,ADM1,
COD,Fataki,1,1.989,30.585,141000,ADM3,
SDN,Khartoum State,1,15.938,33.137,140995,ADM1,
CHN,Shigatse,6,29.558,86.528,139000,ADM3,Earthquake
HTI,Sud Department,2,18.227,-73.882,135706,ADM1,
PHL,Negros Island Region,6,10.676,122.951,133588,ADM1,Typhoon/Hurricane/Cyclone
MOZ,Nampula,1,-15.172,39.112,130304,ADM1,
SYR,Syria,1,34.815,38.427,128023,AM0,
