iso3,conflict,dyad,a,b,code,deaths,events,first,last,adm1s
AFG,Afghanistan: Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,1,229421,35646,1995,2021,34
AFG,Afghanistan: Government,Government of Afghanistan - UIFSA,Government of Afghanistan,UIFSA,1,25785,911,1996,2001,24
AFG,Afghanistan: Islamic State,Government of Afghanistan - IS,Government of Afghanistan,IS,1,10693,1817,2015,2025,31
AFG,Afghanistan: Government,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Government of Afghanistan,Hizb-i Islami-yi Afghanistan,1,9580,302,1989,2016,24
AFG,Afghanistan: Government,Government of Afghanistan - Junbish-i Milli-yi Islami,Government of Afghanistan,Junbish-i Milli-yi Islami,1,9033,254,1993,1995,14
AFG,Government of Afghanistan - Civilians,Government of Afghanistan - Civilians,Government of Afghanistan,Civilians,4,7540,488,1992,2025,34
AGO,Angola: Government,Government of Angola - UNITA,Government of Angola,UNITA,1,30189,1447,1989,2013,18
AGO,UNITA - Civilians,UNITA - Civilians,UNITA,Civilians,5,2351,268,1989,2002,16
AGO,Angola: Cabinda,Government of Angola - FLEC-FAC,Government of Angola,FLEC-FAC,1,314,157,1989,2022,2
AGO,Government of Angola - Civilians,Government of Angola - Civilians,Government of Angola,Civilians,4,228,123,1989,2025,15
AGO,Angola: Cabinda,Government of Angola - FLEC-FAC-TN,Government of Angola,FLEC-FAC-TN,1,170,96,2010,2025,1
AGO,Angola: Cabinda,Government of Angola - FLEC-R,Government of Angola,FLEC-R,1,125,24,1991,2004,1
ALB,Serbia (Yugoslavia): Kosovo,Government of Serbia (Yugoslavia) - UCK,Government of Serbia (Yugoslavia),UCK,1,26,10,1999,1999,1
ARG,Los Monos - Civilians,Los Monos - Civilians,Los Monos,Civilians,5,209,197,2022,2025,1
ARG,Hezbollah - Civilians,Hezbollah - Civilians,Hezbollah,Civilians,5,86,1,1994,1994,1
ARM,Azerbaijan: Artsakh (Nagorno-Karabakh),Government of Azerbaijan - Republic of Artsakh,Government of Azerbaijan,Republic of Artsakh,1,382,76,1992,2023,12
AZE,Azerbaijan: Artsakh (Nagorno-Karabakh),Government of Azerbaijan - Republic of Artsakh,Government of Azerbaijan,Republic of Artsakh,1,13459,787,1991,2023,30
AZE,Republic of Artsakh - Civilians,Republic of Artsakh - Civilians,Republic of Artsakh,Civilians,5,774,2,1992,1992,1
AZE,Azerbaijan: Government,Government of Azerbaijan - Military faction (forces of Suret Husseinov),Government of Azerbaijan,Military faction (forces of Suret Husseinov),1,70,5,1993,1994,2
AZE,Azerbaijan: Government,Government of Azerbaijan - OPON Forces,Government of Azerbaijan,OPON Forces,1,46,6,1994,1995,2
BDI,Government of Burundi - Civilians,Government of Burundi - Civilians,Government of Burundi,Civilians,4,27525,1059,1991,2025,21
BDI,Burundi: Government,Government of Burundi - Palipehutu-FNL,Government of Burundi,Palipehutu-FNL,1,4897,548,1993,2008,9
BDI,Hutu - Tutsi,Hutu - Tutsi,Hutu,Tutsi,2,4255,256,1993,1996,16
BDI,Burundi: Government,Government of Burundi - CNDD-FDD,Government of Burundi,CNDD-FDD,1,2839,311,1998,2004,16
BDI,Burundi: Government,Government of Burundi - CNDD,Government of Burundi,CNDD,1,2360,195,1994,2003,14
BDI,FRODEBU - Civilians,FRODEBU - Civilians,FRODEBU,Civilians,5,1960,54,1993,1993,8
BEL,IS - Civilians,IS - Civilians,IS,Civilians,5,35,3,2016,2023,2
BEN,Benin: Government,Government of Benin - JNIM,Government of Benin,JNIM,1,296,82,2020,2025,4
BEN,JNIM - Civilians,JNIM - Civilians,JNIM,Civilians,5,37,13,2023,2025,3
BFA,Burkina Faso: Government,Government of Burkina Faso - JNIM,Government of Burkina Faso,JNIM,1,12300,1509,2017,2025,25
BFA,JNIM - Civilians,JNIM - Civilians,JNIM,Civilians,5,3145,356,2018,2025,18
BFA,Government of Burkina Faso - Civilians,Government of Burkina Faso - Civilians,Government of Burkina Faso,Civilians,4,2647,154,2014,2025,14
BFA,Burkina Faso: Islamic State,Government of Burkina Faso - IS,Government of Burkina Faso,IS,1,1803,215,2017,2025,4
BFA,IS - Civilians,IS - Civilians,IS,Civilians,5,992,126,2017,2025,5
BFA,IS - JNIM,IS - JNIM,IS,JNIM,2,602,51,2019,2025,5
BGD,Opponents of Hasina - Supporters of Awami League,Opponents of Hasina - Supporters of Awami League,Opponents of Hasina,Supporters of Awami League,2,361,42,2024,2024,7
BGD,PCJSS - Civilians,PCJSS - Civilians,PCJSS,Civilians,5,252,58,1989,2003,1
