code,code_label,sub_id,mechanism,description,respondent_phrasing,sources,counted
1,Threat of armed conflict or war,1.1,Front-line fighting reaches the area,Armed clashes between forces move into or near the settlement.,The fighting reached our village and we ran.,IDMC IAC/NIAC; ACLED Armed clash; UCDP state-based,yes
1,Threat of armed conflict or war,1.2,Aerial bombardment or shelling,"Air strikes, drone strikes, artillery or missile attack on populated areas.",Shells landed on the houses near us.,ACLED Air/drone strike; ACLED Shelling,yes
1,Threat of armed conflict or war,1.3,"Explosive remnants, landmines, IEDs","Land or routes made unusable by mines and unexploded ordnance, often blocking return as much as causing flight.",The road and the fields were mined so we could not stay.,ACLED Remote explosive/landmine/IED,yes
1,Threat of armed conflict or war,1.4,Change of territorial control,A different armed actor takes over the area; people flee the incoming authority rather than the fighting itself.,"The other side took the town, so we left.",ACLED Government regains territory; ACLED Non-state actor overtakes territory,yes
1,Threat of armed conflict or war,1.5,"Siege, encirclement, starvation as a method of war",Movement and supplies cut off until leaving is the only option.,Nothing could get in or out for months.,not separately coded,partial
1,Threat of armed conflict or war,1.6,Forced recruitment or conscription by armed actors,Families leave to prevent sons or daughters being taken.,"They came to take the young men, so we sent them away and then followed.",DTM Forced recruitment; HRW on M23,partial
1,Threat of armed conflict or war,1.7,Anticipatory flight ahead of an advancing front,"Leaving BEFORE violence arrives, on the basis of what happened elsewhere. Invisible to event data by definition - there is no event at the origin.",We left before they arrived because we heard what they did in the next district.,none,no
1,Threat of armed conflict or war,1.8,"Home or infrastructure destroyed, making return impossible",The displacement continues because there is nothing to return to.,"Our house was destroyed, so even when it was calm we could not go back.",IDMC 'Is housing destruction',partial
2,Widespread violence or breakdown of public order,2.1,"Communal violence over land, water or grazing","Violence between communities over resources, frequently seasonal and recurrent.",Two communities started fighting over the wells and the grazing land.,IDMC OSV; ACLED Mob violence; UCDP non-state,yes
2,Widespread violence or breakdown of public order,2.2,Criminal armed groups controlling territory,"Gangs or cartels exercising de facto control, extorting and expelling.",The gang took over our neighbourhood and told families to go.,IDMC OSV; ACLED Mob violence,partial
2,Widespread violence or breakdown of public order,2.3,Riots and mob violence,"Crowd violence targeting people, homes or businesses.",A crowd came through and burned the shops.,ACLED Mob violence; ACLED Violent demonstration,yes
2,Widespread violence or breakdown of public order,2.4,Violent suppression of demonstrations,State or para-state force used against protesters. Straddles this option and code 4.,They fired on the demonstration and afterwards came looking for people.,ACLED Excessive force against protesters,yes
2,Widespread violence or breakdown of public order,2.5,Cattle or resource raiding,Armed raids on livestock and stores that strip livelihoods and force movement.,They came for the cattle and burned what was left.,IDMC OSV; ACLED,partial
